timestamp,signal_phase,queue_length,waiting_time,throughput
168,0,55.18,8.57,0.0
169,0,49.34,7.85,0.0
170,0,50.54,3.68,0.32
171,0,42.38,4.48,1.13
172,0,49.33,6.01,0.4
173,0,44.97,6.9,0.42
174,0,46.91,5.4,0.0
175,0,40.78,7.18,0.08
176,0,30.21,4.51,0.99
177,0,50.23,5.21,0.0
178,0,26.52,2.26,1.51
179,0,40.08,4.08,0.36
180,0,40.36,3.06,0.69
181,0,33.66,3.87,0.23
182,0,46.9,7.54,0.0
183,0,40.4,5.56,0.0
184,0,38.51,6.27,0.51
185,0,46.16,5.04,0.0
186,0,38.19,3.78,0.91
187,0,53.11,6.14,0.0
188,0,44.81,4.51,0.0
189,0,38.21,7.13,0.29
190,0,26.45,2.97,1.64
191,0,31.54,5.16,0.59
192,0,50.69,6.72,0.41
193,0,41.6,4.52,0.0
194,0,39.73,6.19,1.33
195,0,55.15,7.58,0.0
196,0,31.74,4.42,1.52
197,0,37.31,4.65,1.03
198,0,38.22,5.11,0.25
199,0,46.69,6.51,1.13
200,0,36.69,6.67,0.0
201,0,37.09,4.31,0.87
202,0,29.16,3.1,2.31
203,0,47.83,4.61,0.0
204,0,48.45,5.91,0.0
205,0,38.19,5.2,1.56
206,0,43.31,7.58,1.39
207,0,31.66,2.64,0.0
208,0,38.23,2.28,0.38
209,0,53.02,5.98,0.0
210,0,43.09,5.07,0.0
211,0,60.48,6.69,0.0
212,0,35.7,7.2,0.85
213,0,46.64,2.39,1.4
214,0,40.44,3.71,0.1
215,0,46.53,5.17,0.6
216,0,41.94,5.78,0.87
217,0,37.51,5.63,1.14
218,0,35.06,4.44,0.26
219,0,66.53,9.02,0.0
220,0,41.38,4.78,0.06
221,0,25.87,1.21,2.32
222,0,36.81,4.61,0.37
223,0,47.42,4.61,0.0
224,0,38.0,2.01,0.0
225,0,52.88,5.58,0.3
226,0,50.02,5.75,0.23
227,0,40.78,5.06,0.0
228,0,38.22,4.78,0.78
229,0,33.96,4.38,0.08
230,0,36.4,6.43,0.0
231,0,30.21,4.11,0.55
232,0,51.64,6.77,0.0
233,0,54.73,8.58,0.0
234,0,31.95,5.39,0.0
235,0,32.55,3.07,0.85
236,0,27.85,3.95,1.63
237,0,34.29,3.34,1.77
238,0,17.15,2.2,2.05
239,0,32.86,5.94,1.34
240,0,52.38,6.7,0.0
241,0,39.23,4.48,1.05
242,0,48.84,4.51,1.01
243,0,38.09,5.23,0.0
244,0,56.09,6.9,0.0
245,0,43.59,6.45,0.08
246,0,38.94,5.76,2.21
247,0,62.42,8.73,0.0
248,0,39.4,6.34,0.0
249,0,32.23,3.86,0.11
250,0,43.62,7.1,0.9
251,0,41.69,3.22,0.95
252,0,50.53,7.7,0.17
253,0,34.63,3.04,1.13
254,0,48.44,3.94,0.92
255,0,48.82,5.84,0.0
256,0,36.66,4.24,0.27
257,0,43.31,6.51,0.0
258,0,35.35,3.49,0.51
259,0,60.77,6.15,0.0
260,0,36.37,4.7,0.99
261,0,38.38,5.37,0.53
262,0,33.47,3.18,1.54
263,0,39.23,5.05,2.36
264,0,41.95,3.81,0.57
265,0,48.14,6.17,0.0
266,0,37.12,4.6,0.59
267,0,40.51,2.07,1.43
268,0,30.67,4.4,1.14
269,0,35.38,4.19,0.71
270,0,64.05,6.82,0.0
271,0,50.33,8.55,0.24
272,0,35.75,5.03,0.0
273,0,31.3,3.38,0.0
274,0,34.2,3.54,0.83
275,0,41.83,5.54,0.94
276,0,42.28,6.31,0.0
277,0,36.05,4.66,0.0
278,0,31.71,4.64,0.0
279,0,53.38,5.53,0.29
280,0,45.61,5.44,0.0
281,0,39.0,6.11,0.0
282,0,40.23,5.17,0.0
283,0,37.76,5.45,0.56
284,0,18.51,1.97,2.21
285,0,42.93,6.93,0.0
286,0,33.44,3.4,0.0
287,0,33.98,3.28,0.41
288,0,36.88,3.03,0.8
289,0,47.86,6.34,0.5
290,0,32.64,3.92,0.82
291,0,30.53,4.83,0.0
292,0,47.12,5.32,0.0
293,0,48.03,4.11,0.0
294,0,34.33,4.34,0.48
295,0,46.5,4.74,0.46
296,0,39.67,4.17,1.35
297,0,44.41,6.82,0.0
298,0,31.91,4.53,0.86
299,0,48.66,5.53,0.72
300,0,51.63,6.41,0.0
301,0,47.1,4.45,0.0
302,0,46.47,4.16,0.58
303,0,11.82,2.14,1.44
304,0,44.09,6.89,0.0
305,0,41.8,5.7,0.0
306,0,40.82,3.84,0.21
307,0,36.96,4.47,0.35
308,0,42.44,5.19,0.0
309,0,45.3,5.59,0.78
310,0,39.89,3.39,0.23
311,0,38.29,5.34,1.31
312,0,51.84,6.24,0.0
313,0,33.16,2.8,0.0
314,0,50.24,4.06,0.0
315,1,31.41,2.46,5.07
316,1,23.57,2.0,4.19
317,1,27.68,3.73,6.85
318,1,22.64,3.76,3.63
319,1,35.4,2.55,4.88
320,1,32.78,4.9,5.89
321,1,25.55,4.14,5.11
322,1,21.18,1.74,4.73
323,1,32.41,3.13,3.22
324,1,37.66,6.94,4.08
325,1,29.09,3.35,5.79
326,1,33.35,4.88,3.62
327,1,26.99,2.95,5.34
328,1,30.54,3.46,5.77
329,1,27.67,1.68,5.6
330,1,32.35,3.77,5.33
331,1,17.92,0.82,5.37
332,1,35.15,3.24,5.03
333,1,28.16,4.1,4.06
334,1,32.87,3.44,4.95
335,1,27.28,6.0,4.46
336,1,32.56,3.75,3.56
337,1,21.42,3.65,5.1
338,1,39.51,5.38,2.63
339,1,16.37,0.29,5.27
340,1,21.69,0.01,4.83
341,1,31.89,1.97,4.73
342,1,41.7,4.97,3.62
343,1,32.23,5.32,5.13
344,1,28.02,2.72,4.9
345,1,18.6,2.51,5.22
346,1,28.47,3.76,4.46
347,1,29.84,6.9,4.82
348,1,43.52,4.78,4.94
349,1,34.98,3.74,4.57
350,1,17.77,2.15,4.68
351,1,46.21,5.93,3.72
352,1,26.84,0.58,5.38
353,1,22.96,2.84,3.84
354,1,41.8,4.5,4.24
355,1,29.6,3.51,4.71
356,1,27.06,2.2,4.8
357,1,31.75,4.93,5.53
358,1,36.76,5.86,4.19
359,1,37.95,5.4,3.96
360,1,19.0,3.42,4.88
361,1,45.99,4.68,3.97
362,1,37.57,3.65,3.34
363,1,26.97,2.63,6.36
364,1,23.45,3.77,5.51
365,1,22.25,3.91,4.91
366,1,30.99,4.96,4.02
367,1,24.82,3.3,4.12
368,1,23.88,3.33,4.88
369,1,36.49,5.55,3.78
370,1,32.92,3.28,4.34
371,1,26.84,2.92,5.7
372,1,35.87,4.96,4.17
373,1,40.94,7.0,4.04
374,1,21.24,3.41,5.77
375,1,25.17,3.11,4.56
376,1,37.54,4.1,4.51
377,1,35.75,4.64,4.2
378,1,31.81,0.7,6.19
379,1,39.3,5.77,3.07
380,1,21.29,3.25,4.99
381,1,18.17,1.25,5.25
382,1,23.07,3.29,3.82
383,1,30.98,3.95,4.89
384,1,23.63,1.72,6.12
385,1,26.1,4.91,5.49
386,1,22.2,2.98,5.73
387,1,25.04,1.88,5.08
388,1,21.96,5.35,3.75
389,1,32.94,4.06,4.9
390,1,36.36,3.74,3.62
391,1,26.16,4.17,4.73
392,1,28.34,4.61,5.35
393,1,25.35,3.55,4.42
394,1,34.25,0.79,4.41
395,1,30.71,3.77,3.76
396,1,42.75,5.26,3.63
397,1,21.24,2.53,4.26
398,1,32.9,4.86,4.86
399,1,33.55,4.49,5.11
400,1,27.12,3.1,2.82
401,1,34.67,2.58,4.93
402,1,18.49,3.12,3.99
403,1,46.95,5.57,4.87
404,1,19.26,2.6,5.26
405,1,37.36,6.06,4.68
406,1,21.03,3.65,5.32
407,1,39.21,5.13,4.5
408,1,26.92,2.29,4.96
409,1,31.27,2.89,5.4
410,1,30.43,2.24,5.28
411,1,38.81,4.18,4.82
412,1,27.43,5.56,5.83
413,1,6.26,0.67,4.85
414,1,23.92,2.95,5.17
415,1,31.47,4.02,4.13
416,1,26.48,4.0,4.19
417,1,36.16,5.95,4.34
418,1,38.12,4.51,5.18
419,1,28.82,4.57,3.86
420,1,18.08,5.99,4.64
421,1,41.07,2.12,3.76
422,1,38.66,4.47,3.28
423,1,27.61,3.36,4.93
424,1,46.87,5.9,4.31
425,1,27.21,3.64,6.15
426,1,20.9,1.82,4.53
427,1,28.75,7.37,3.95
428,1,38.62,4.47,3.81
429,1,22.5,3.08,5.82
430,1,45.61,5.44,3.32
431,1,22.83,3.49,4.45
432,1,37.64,5.34,4.16
433,1,34.36,4.67,4.7
434,1,28.77,5.29,4.94
435,1,38.64,4.66,4.22
436,1,18.0,3.46,4.72
437,1,40.86,3.34,4.98
438,1,29.49,4.91,4.9
439,1,25.66,3.86,4.29
440,1,35.99,5.19,5.58
441,1,38.48,4.98,5.42
442,1,36.16,4.13,4.45
443,1,46.0,2.94,3.68
444,1,38.65,4.15,5.42
445,1,40.27,4.73,5.31
446,1,25.68,2.29,5.1
447,1,30.85,4.36,4.19
448,1,34.5,3.87,5.59
449,1,29.86,4.38,4.03
450,1,32.41,3.34,5.62
451,1,33.41,4.73,4.22
452,1,36.75,4.7,4.22
453,1,29.19,3.46,4.93
454,1,27.2,2.06,5.27
455,1,23.37,4.48,3.03
456,1,22.87,2.41,5.3
457,1,39.38,3.45,4.27
458,1,29.32,5.27,3.91
459,1,36.3,3.52,4.27
460,1,19.62,1.38,3.97
461,1,14.49,2.01,5.21
462,1,21.61,0.98,4.61
463,1,39.17,4.1,5.18
464,1,38.54,2.66,4.35
465,1,32.66,1.8,5.58
466,1,23.58,2.93,4.7
467,1,28.95,3.37,4.03
468,1,27.62,4.96,6.33
469,1,27.24,5.57,4.13
470,1,9.95,1.57,4.35
471,1,23.14,3.39,3.81
472,0,40.48,3.63,0.21
473,0,54.13,6.22,0.31
474,0,43.29,5.53,0.0
475,0,53.21,7.83,0.67
476,0,38.85,5.59,1.41
477,0,39.98,4.79,3.08
478,0,10.8,1.13,2.76
479,0,45.71,4.73,0.75
480,0,46.38,4.1,0.49
481,0,56.11,5.93,1.15
482,0,38.11,4.68,0.12
483,0,42.75,5.61,0.27
484,0,36.36,4.28,1.09
485,0,32.59,4.42,0.0
486,0,36.3,6.71,0.0
487,0,39.24,5.16,0.26
488,0,52.84,6.24,0.0
489,0,42.02,5.12,0.71
490,0,35.68,2.04,1.92
491,0,43.14,6.06,0.61
492,0,43.74,5.74,0.1
493,0,36.59,4.87,0.83
494,0,51.15,5.33,0.0
495,0,26.89,2.39,1.21
496,0,40.29,3.34,0.0
497,0,47.32,5.97,0.7
498,0,31.29,7.32,0.0
499,0,44.89,6.15,0.43
500,0,52.34,8.99,0.0
501,0,45.63,4.74,1.11
502,0,28.48,3.74,0.0
503,0,36.17,5.75,0.16
504,0,51.86,7.93,0.23
505,0,44.39,3.43,0.84
506,0,41.92,4.66,0.0
507,0,45.53,6.87,0.41
508,0,47.77,7.95,0.7
509,0,36.33,3.71,0.06
510,0,39.68,3.99,1.12
511,0,43.14,3.67,0.0
512,0,37.65,4.51,0.07
513,0,40.93,4.22,1.87
514,0,52.38,8.59,0.0
515,0,34.26,5.97,0.0
516,0,57.41,7.4,0.15
517,0,57.03,8.74,0.0
518,0,28.29,4.44,1.44
519,0,40.87,5.17,0.0
520,0,44.74,6.47,0.0
521,0,35.91,5.38,0.0
522,0,36.07,4.54,0.71
523,0,40.1,4.26,0.34
524,0,47.91,5.72,0.4
525,0,37.91,5.0,0.0
526,0,56.61,8.69,0.05
527,0,44.32,4.79,0.4
528,0,41.18,4.96,0.01
529,0,53.59,8.14,0.04
530,0,47.01,5.28,0.0
531,0,44.95,6.75,0.52
532,0,39.35,3.68,0.01
533,0,56.51,6.65,0.0
534,0,48.49,5.77,0.0
535,0,40.37,6.78,0.0
536,0,29.38,3.78,1.03
537,0,44.98,4.12,0.74
538,0,32.85,2.6,0.14
539,0,28.27,5.9,2.28
540,0,39.77,5.62,0.18
541,0,44.25,4.99,0.0
542,0,52.26,7.54,0.0
543,0,44.26,4.72,0.0
544,0,48.45,6.51,0.02
545,0,32.19,3.26,0.18
546,0,41.82,5.38,0.0
547,0,42.99,3.95,0.74
548,0,48.9,6.58,0.28
549,0,42.93,6.63,0.0
550,0,48.43,5.84,0.0
551,0,37.97,5.45,1.12
552,0,44.86,4.7,0.0
553,0,45.32,5.36,0.0
554,0,32.0,4.24,1.62
555,0,43.4,6.43,0.0
556,0,39.44,5.01,0.36
557,0,26.77,2.75,0.32
558,0,49.67,4.83,0.0
559,0,39.11,4.72,0.48
560,0,35.18,3.01,0.5
561,0,38.98,5.84,1.12
562,0,43.11,3.25,1.13
563,0,54.06,7.03,0.0
564,0,40.67,4.79,0.0
565,0,45.78,5.37,0.0
566,0,52.99,6.59,0.0
567,0,46.27,6.55,0.7
568,0,50.55,6.69,1.08
569,0,38.19,3.16,0.0
570,0,48.17,7.28,0.0
571,0,41.54,3.96,0.0
572,0,50.6,6.04,0.0
573,0,33.97,4.94,1.13
574,0,35.76,4.33,1.76
575,0,52.15,5.42,0.4
576,0,40.43,4.17,0.45
577,0,39.13,4.31,0.12
578,0,42.62,7.08,0.02
579,0,36.48,2.96,0.62
580,0,52.66,7.84,0.05
581,0,32.01,2.4,1.7
582,0,40.8,4.47,0.0
583,0,44.78,6.18,0.0
584,0,41.16,4.2,0.7
585,0,35.58,4.33,1.1
586,0,35.05,4.02,0.0
587,0,45.4,4.53,0.0
588,0,33.76,6.19,1.05
589,0,47.17,5.69,0.0
590,0,29.81,5.57,0.84
591,0,37.56,2.15,1.4
592,0,42.29,6.58,0.73
593,0,31.98,3.98,0.28
594,0,47.22,5.74,1.43
595,0,41.85,6.57,0.05
596,0,33.71,5.31,0.81
597,0,29.85,5.22,0.26
598,0,29.48,4.68,1.66
599,0,42.41,5.0,1.6
600,0,32.75,3.56,0.91
601,0,31.08,3.26,2.19
602,0,40.15,3.62,0.22
603,0,60.22,8.74,0.0
604,0,44.22,6.49,0.0
605,0,48.1,6.41,0.99
606,0,43.7,4.97,0.0
607,0,48.26,5.08,1.5
608,0,31.26,3.42,0.5
609,0,38.56,4.55,1.47
610,0,44.09,6.13,0.81
611,0,41.86,6.0,0.0
612,0,40.46,3.17,0.21
613,0,36.67,4.69,0.92
614,0,39.93,5.18,1.01
615,0,35.81,4.84,1.17
616,0,22.63,1.56,1.0
617,0,32.44,4.34,0.0
618,0,45.81,5.33,0.23
619,0,54.46,7.42,0.0
620,0,56.51,7.49,0.0
621,0,42.77,6.18,0.0
622,0,49.15,7.93,0.04
623,0,49.26,6.73,0.0
624,0,36.46,5.25,0.0
625,0,28.42,4.68,0.54
626,0,42.25,4.29,0.28
627,0,27.9,2.88,1.78
628,0,39.44,4.9,0.0
629,1,34.86,3.97,5.33
630,1,18.64,4.26,5.49
631,1,30.26,3.84,4.33
632,1,39.92,3.52,3.81
633,1,32.89,2.13,4.76
634,1,34.18,7.46,4.14
635,1,37.25,4.64,4.27
636,1,43.86,6.69,2.99
637,1,31.21,4.7,4.04
638,1,39.84,7.11,3.45
639,1,29.49,3.62,4.73
640,1,25.63,0.35,5.0
641,1,32.52,2.56,4.49
642,1,25.15,2.89,5.3
643,1,25.41,2.48,5.15
644,1,25.14,3.89,3.89
645,1,11.64,0.88,5.63
646,1,30.84,6.12,4.74
647,1,19.89,1.73,5.99
648,1,29.14,4.13,4.51
649,1,41.6,3.39,4.52
650,1,25.83,4.43,5.41
651,1,25.66,1.31,4.44
652,1,40.91,5.24,3.65
653,1,34.37,4.1,3.79
654,1,37.81,3.18,4.86
655,1,27.16,2.34,5.59
656,1,35.98,5.0,4.83
657,1,24.51,2.26,5.06
658,1,24.59,3.76,3.82
659,1,34.77,3.77,5.37
660,1,25.21,3.49,5.71
661,1,36.14,3.78,4.4
662,1,49.13,7.1,3.36
663,1,16.51,1.54,5.21
664,1,23.98,1.54,4.62
665,1,38.96,5.21,4.39
666,1,28.84,4.81,4.66
667,1,39.29,4.1,4.57
668,1,21.92,2.61,5.23
669,1,32.65,3.65,4.02
670,1,28.8,4.76,3.87
671,1,31.12,3.09,4.63
672,1,32.65,3.09,4.85
673,1,20.24,1.68,4.85
674,1,21.41,3.64,3.25
675,1,41.19,4.93,4.16
676,1,32.35,5.09,4.54
677,1,30.85,3.6,5.49
678,1,29.65,3.72,5.06
679,1,32.85,3.02,5.03
680,1,20.75,2.45,5.08
681,1,22.01,0.89,5.29
682,1,40.44,5.2,3.8
683,1,31.21,2.69,5.33
684,1,36.8,4.64,5.09
685,1,25.15,3.31,7.06
686,1,41.01,5.8,3.75
687,1,32.76,3.98,6.86
688,1,33.85,3.68,4.11
689,1,34.39,6.96,4.36
690,1,23.62,4.54,4.43
691,1,15.07,2.34,5.76
692,1,21.4,1.45,5.7
693,1,43.04,5.97,3.78
694,1,40.41,3.97,3.66
695,1,27.22,4.52,4.28
696,1,27.59,3.1,5.23
697,1,38.29,4.63,2.36
698,1,28.65,5.65,3.52
699,1,19.61,4.0,5.12
700,1,40.12,5.59,5.17
701,1,33.82,3.94,4.92
702,1,9.87,0.0,5.62
703,1,27.49,4.59,5.06
704,1,31.15,3.84,4.75
705,1,33.85,4.18,4.71
706,1,31.22,1.45,4.03
707,1,24.91,1.8,4.31
708,1,29.07,1.24,4.35
709,1,32.36,4.13,4.83
710,1,27.86,3.34,4.3
711,1,27.02,1.18,5.23
712,1,40.02,4.93,3.87
713,1,22.43,1.73,4.57
714,1,27.2,0.47,5.3
715,1,13.75,2.34,4.74
716,1,34.33,6.58,4.57
717,1,36.63,3.8,4.62
718,1,34.39,5.05,4.92
719,1,37.34,4.63,4.72
720,1,33.53,3.7,4.27
721,1,32.74,6.65,4.91
722,1,33.79,2.81,4.65
723,1,27.86,4.28,5.85
724,1,39.51,3.38,4.3
725,1,27.21,2.08,4.72
726,1,18.3,3.15,4.83
727,1,36.8,3.41,5.56
728,1,44.81,5.58,3.19
729,1,22.32,2.14,5.23
730,1,29.19,3.91,6.38
731,1,24.52,2.19,6.28
732,1,26.96,3.95,4.87
733,1,30.37,2.68,4.95
734,1,20.07,2.47,5.98
735,1,27.78,3.04,5.31
736,1,18.27,0.92,6.2
737,1,25.45,1.53,4.97
738,1,20.51,1.81,5.95
739,1,21.53,0.0,4.88
740,1,16.24,4.8,4.0
741,1,39.75,6.07,4.29
742,1,34.07,4.77,4.76
743,1,14.66,3.88,4.96
744,1,25.23,0.49,5.92
745,1,24.64,3.92,5.73
746,1,24.47,1.17,5.0
747,1,18.42,2.7,5.18
748,1,36.04,4.43,3.57
749,1,26.83,1.4,4.66
750,1,33.75,5.01,3.69
751,1,34.21,5.63,4.3
752,1,41.0,5.45,3.77
753,1,15.48,2.15,5.02
754,1,43.91,5.69,4.92
755,1,40.15,3.42,4.31
756,1,34.58,4.26,5.2
757,1,49.07,6.98,4.92
758,1,31.64,4.32,4.21
759,1,36.57,6.44,4.72
760,1,24.09,3.24,5.34
761,1,39.07,3.8,3.97
762,1,31.34,4.41,3.35
763,1,26.39,4.08,6.04
764,1,46.94,5.3,5.59
765,1,27.56,4.17,4.43
766,1,30.07,4.74,5.62
767,1,28.42,2.85,3.2
768,1,23.95,3.96,5.66
769,1,34.25,5.5,4.61
770,1,35.91,3.06,3.68
771,1,32.83,4.07,3.81
772,1,11.12,2.32,5.33
773,1,38.06,4.88,5.01
774,1,27.2,4.34,5.37
775,1,20.27,1.99,5.24
776,1,34.83,2.86,5.45
777,1,34.5,4.47,4.3
778,1,21.66,0.34,4.86
779,1,49.78,6.55,4.0
780,1,20.32,4.33,5.7
781,1,16.14,2.48,5.17
782,1,20.77,2.1,5.06
783,1,41.37,4.43,4.1
784,1,28.59,3.53,4.97
785,1,27.02,5.86,3.37
786,0,41.5,6.13,1.39
787,0,37.23,4.52,0.67
788,0,36.48,4.13,0.85
789,0,36.87,4.85,1.7
790,0,47.66,8.18,0.59
791,0,50.16,5.06,1.2
792,0,33.56,3.37,0.6
793,0,43.91,4.85,0.18
794,0,48.31,5.96,0.27
795,0,33.35,4.57,0.0
796,0,37.98,7.08,0.0
797,0,33.7,5.05,0.28
798,0,31.67,1.99,0.15
799,0,42.81,3.69,0.99
800,0,36.11,4.22,0.0
801,0,47.05,5.94,0.33
802,0,41.76,5.68,0.0
803,0,45.3,4.87,0.0
804,0,39.66,4.65,1.22
805,0,36.92,3.23,0.36
806,0,41.27,3.94,1.07
807,0,41.96,5.16,0.0
808,0,36.35,5.73,0.57
809,0,45.41,4.13,0.0
810,0,47.97,7.29,0.0
811,0,43.26,5.1,0.0
812,0,55.71,5.92,0.0
813,0,36.94,5.48,0.41
814,0,46.16,5.42,0.18
815,0,38.73,5.06,0.81
816,0,43.88,5.25,0.0
817,0,35.36,4.21,0.5
818,0,50.92,6.14,0.0
819,0,43.41,6.06,0.74
820,0,51.54,5.45,0.14
821,0,31.87,5.52,1.17
822,0,38.05,5.84,0.0
823,0,34.86,5.22,1.03
824,0,37.74,5.2,0.14
825,0,36.46,4.82,0.89
826,0,41.04,6.63,0.0
827,0,41.86,6.27,0.43
828,0,41.67,5.53,0.05
829,0,37.56,5.17,0.0
830,0,43.5,7.34,0.0
831,0,49.0,8.09,0.81
832,0,34.78,6.1,0.48
833,0,42.01,5.06,0.54
834,0,41.41,6.95,0.0
835,0,45.75,5.43,0.0
836,0,41.49,6.26,0.49
837,0,41.87,5.97,0.0
838,0,34.07,4.22,0.03
839,0,42.17,6.1,0.2
840,0,34.62,5.29,0.0
841,0,46.13,5.48,0.0
842,0,41.17,5.33,0.0
843,0,42.32,4.16,0.49
844,0,34.87,7.42,0.0
845,0,48.43,5.14,0.82
846,0,47.54,6.51,0.0
847,0,48.89,6.27,0.19
848,0,59.82,8.73,0.0
849,0,41.58,4.61,0.0
850,0,51.63,7.66,0.0
851,0,41.01,6.79,0.0
852,0,45.15,6.06,0.0
853,0,44.92,5.23,0.98
854,0,44.12,6.27,0.27
855,0,47.27,4.53,0.0
856,0,39.57,5.15,0.0
857,0,42.33,6.87,0.4
858,0,46.28,6.04,0.0
859,0,55.98,4.31,0.19
860,0,35.26,3.55,1.3
861,0,27.55,3.4,0.92
862,0,38.13,4.27,0.11
863,0,42.72,3.06,0.0
864,0,43.4,3.94,0.51
865,0,42.74,6.29,0.64
866,0,51.46,6.49,0.0
867,0,49.81,3.06,0.17
868,0,41.61,6.38,0.35
869,0,38.24,4.5,0.0
870,0,39.23,4.77,0.53
